Datum;Tijd;Maanfase;Hoogwater/laagwater;Meting
01/12/2020; 17:59; ; HW; 106.0 cm;
01/12/2020; 14:37; ; LW; 25.0 cm;
01/12/2020; 05:54; ; HW; 106.0 cm;
01/12/2020; 02:11; ; LW; 26.0 cm;
30/11/2020; 17:27; Volle Maan 11:30; HW; 103.0 cm;
30/11/2020; 14:04; ; LW; 24.0 cm;
30/11/2020; 05:16; ; HW; 105.0 cm;
30/11/2020; 01:37; ; LW; 24.0 cm;
29/11/2020; 16:54; ; HW; 99.0 cm;
29/11/2020; 13:32; ; LW; 23.0 cm;
29/11/2020; 04:44; ; HW; 103.0 cm;
29/11/2020; 01:01; ; LW; 21.0 cm;
28/11/2020; 16:25; ; HW; 95.0 cm;
28/11/2020; 12:44; ; LW; 22.0 cm;
28/11/2020; 04:08; ; HW; 101.0 cm;
28/11/2020; 00:22; ; LW; 18.0 cm;
27/11/2020; 15:54; ; HW; 92.0 cm;
27/11/2020; 12:00; ; LW; 22.0 cm;
27/11/2020; 03:24; ; HW; 98.0 cm;
26/11/2020; 22:58; ; LW; 17.0 cm;
26/11/2020; 15:05; ; HW; 87.0 cm;
26/11/2020; 11:08; ; LW; 24.0 cm;
26/11/2020; 02:44; ; HW; 94.0 cm;
25/11/2020; 21:33; ; LW; 16.0 cm;
25/11/2020; 14:16; ; HW; 82.0 cm;
25/11/2020; 10:00; ; LW; 27.0 cm;
25/11/2020; 01:44; ; HW; 90.0 cm;
24/11/2020; 20:48; ; LW; 16.0 cm;
24/11/2020; 13:18; ; HW; 78.0 cm;
24/11/2020; 08:32; ; LW; 30.0 cm;
24/11/2020; 00:30; ; HW; 89.0 cm;
23/11/2020; 19:48; ; LW; 16.0 cm;
23/11/2020; 11:58; ; HW; 79.0 cm;
23/11/2020; 07:41; ; LW; 30.0 cm;
22/11/2020; 23:18; Eerste Kwartier 06:45; HW; 93.0 cm;
22/11/2020; 18:44; ; LW; 16.0 cm;
22/11/2020; 10:40; ; HW; 85.0 cm;
22/11/2020; 06:47; ; LW; 30.0 cm;
21/11/2020; 22:18; ; HW; 98.0 cm;
21/11/2020; 17:54; ; LW; 17.0 cm;
21/11/2020; 09:34; ; HW; 91.0 cm;
21/11/2020; 06:19; ; LW; 29.0 cm;
20/11/2020; 20:54; ; HW; 103.0 cm;
20/11/2020; 17:10; ; LW; 19.0 cm;
20/11/2020; 08:34; ; HW; 96.0 cm;
20/11/2020; 05:56; ; LW; 27.0 cm;
19/11/2020; 20:05; ; HW; 108.0 cm;
19/11/2020; 16:27; ; LW; 22.0 cm;
19/11/2020; 07:41; ; HW; 102.0 cm;
19/11/2020; 05:18; ; LW; 25.0 cm;
18/11/2020; 19:14; ; HW; 111.0 cm;
18/11/2020; 15:38; ; LW; 25.0 cm;
18/11/2020; 06:55; ; HW; 106.0 cm;
18/11/2020; 04:36; ; LW; 23.0 cm;
17/11/2020; 18:29; ; HW; 112.0 cm;
17/11/2020; 16:04; ; LW; 29.0 cm;
17/11/2020; 06:11; ; HW; 110.0 cm;
17/11/2020; 03:56; ; LW; 22.0 cm;
16/11/2020; 17:45; ; HW; 110.0 cm;
16/11/2020; 15:26; ; LW; 29.0 cm;
16/11/2020; 05:25; ; HW; 111.0 cm;
16/11/2020; 03:00; ; LW; 22.0 cm;
15/11/2020; 17:06; Nieuwe Maan 07:07; HW; 107.0 cm;
